symbol,entry_time,onset_time,peak_time,spike_pct,lag_minutes,close,return_1m_pct,return_3m_pct,return_5m_pct,return_15m_pct,rsi_14,cmo_14,stoch_k,stoch_d,cci_20,adx_14,di_gap,ema9_21_gap_pct,ema_cross_up,macd_histogram_pct,roc_10_pct,atr_pct,bb_position,bb_width_pct,volume_ratio_20,cmf_20,obv_slope_5,body_pct,range_pct,close_position_in_range
HAEDALTRY,2026-08-15 20:56:59,2026-08-15 20:56:59,2026-08-15 21:11:59,5.04926,0,0.812,0.12330456,0.12330456,0.12330456,0.99502488,95.41304054,100.0,100.0,100.0,83.56807512,71.42857143,100.0,0.25118284,0,0.05169839,0.99502488,0.00070373,0.81282228,0.01761542,0.09235905,0.0,1.0,0.0,0.0,
HAEDALTRY,2026-08-15 20:56:59,2026-08-15 20:56:59,2026-08-15 21:11:59,5.04926,1,0.811,0.0,0.0,0.0,0.87064677,94.25892511,100.0,100.0,100.0,74.07407407,64.28571429,100.0,0.2476268,0,0.05683638,0.87064677,0.00061652,0.7763854,0.01725804,0.0,0.0,,0.0,0.0,
HAEDALTRY,2026-08-15 20:56:59,2026-08-15 20:56:59,2026-08-15 21:11:59,5.04926,3,0.811,0.0,0.0,0.0,0.87064677,94.25892511,100.0,100.0,100.0,95.23809524,50.0,100.0,0.25885861,0,0.08322476,0.87064677,0.00061652,0.84069257,0.01656042,0.0,0.0,,0.0,0.0,
HEMITRY,2026-08-15 21:18:59,2026-08-15 21:19:59,2026-08-15 21:30:59,7.17274,0,0.3345,-0.02988643,-3.29575022,-4.75512528,-5.45505936,38.64163075,-55.42168675,16.30901288,12.32813004,-173.08749679,35.29138072,-24.66843501,-0.32715995,0,-0.7435842,-3.49105597,0.01610079,0.02078041,0.06883162,1.87983643,0.0347376,-0.75291326,-0.11943864,1.91330344,0.59375
HEMITRY,2026-08-15 21:18:59,2026-08-15 21:19:59,2026-08-15 21:30:59,7.17274,1,0.3346,-0.29797378,-5.21246459,-4.45459737,-4.15353767,38.75018205,-56.47058824,11.36363636,17.94151618,-185.08418468,34.41480367,-19.87012987,-0.03625262,0,-0.65789479,-4.09859559,0.01643754,-0.04270113,0.06240899,0.92624945,0.04996758,-0.42584998,-0.38701995,2.09205021,0.42857143
HEMITRY,2026-08-15 21:18:59,2026-08-15 21:19:59,2026-08-15 21:30:59,7.17274,3,0.3459,-2.01133144,-1.22786979,0.05785363,1.28843338,53.4907267,17.52021563,33.14917127,57.80386325,25.57377049,34.51608206,17.4796748,0.84574334,0,-0.21315989,-1.42490738,0.01523975,0.43766309,0.04970099,0.48501927,0.04980289,0.70413871,-1.95578231,2.2260769,0.05194805
HEMITRY,2026-08-15 21:18:59,2026-08-15 21:19:59,2026-08-15 21:30:59,7.17274,5,0.3512,0.28555111,1.59097483,1.3271783,2.42053077,66.37834261,30.71895425,66.16915423,59.36981758,84.95347487,31.20317252,16.30276565,0.99724457,0,-0.15964692,-0.73487846,0.0139725,0.78708581,0.04821617,0.46553295,0.08780473,0.39754381,0.4002287,0.79726651,0.78571429
HEMITRY,2026-08-15 21:18:59,2026-08-15 21:19:59,2026-08-15 21:30:59,7.17274,10,0.3466,-0.65921467,-1.22542035,-2.03504805,2.5140491,60.59293483,9.65732087,43.28358209,52.12699699,38.99656597,33.97832138,4.7277937,1.35722073,0,-0.09039048,1.07903179,0.01438463,0.63958875,0.06717852,0.43692482,0.02693845,-0.76565664,-0.63073394,1.84650894,0.65625
COWTRY,2026-08-15 21:24:59,2026-08-15 21:29:59,2026-08-15 21:39:59,5.95238,0,6.63,-0.30075188,-1.19225037,-1.33928571,1.37614679,51.77925384,17.64705882,52.0,58.66666667,35.58052434,33.61690881,12.5,0.39702655,0,0.08835921,0.30257186,0.00775695,0.59200134,0.04114083,0.98431038,0.17724363,-0.49361878,-0.30075188,0.75414781,0.4
COWTRY,2026-08-15 21:24:59,2026-08-15 21:29:59,2026-08-15 21:39:59,5.95238,1,6.65,-0.15015015,-0.74626866,-0.89418778,1.99386503,55.38984865,31.42857143,60.0,69.33333333,54.70560964,34.07725928,18.57142857,0.48770706,0,0.1614292,1.52671756,0.0075188,0.67832453,0.04162701,1.93314756,0.19192885,0.00112816,-0.15015015,0.7518797,0.6
COWTRY,2026-08-15 21:24:59,2026-08-15 21:29:59,2026-08-15 21:39:59,5.95238,3,6.71,0.14925373,0.0,1.35951662,2.75650842,67.77065831,61.29032258,84.0,86.33333333,162.76202219,34.28258548,32.30769231,0.61131952,0,0.30079613,2.44274809,0.00691931,0.94041173,0.04046959,2.07056622,0.26552909,0.67511674,0.14925373,0.74515648,0.2
COWTRY,2026-08-15 21:24:59,2026-08-15 21:29:59,2026-08-15 21:39:59,5.95238,5,6.72,0.1490313,1.51057402,1.66414523,2.59541985,71.31439292,60.0,91.66666667,92.77777778,238.58447489,30.32896767,26.2295082,0.49857145,0,0.31925407,2.75229358,0.00648384,1.13292674,0.03447495,2.74209306,0.34950039,0.82478781,0.29850746,1.04166667,0.71428571
COWTRY,2026-08-15 21:24:59,2026-08-15 21:29:59,2026-08-15 21:39:59,5.95238,10,6.61,0.91603053,0.91603053,1.07033639,0.91603053,57.22853225,33.33333333,100.0,70.37037037,66.66666667,25.80713359,8.0,-0.08164601,0,0.10914919,0.91603053,0.00540307,0.9333396,0.01812067,2.52044913,0.20479702,0.38853004,1.07033639,1.5128593,1.0
ACETRY,2026-08-15 21:58:59,2026-08-15 21:59:59,2026-08-15 22:13:59,5.00503,0,7.908,-0.55331992,0.304414,0.21543531,0.12661433,45.58581133,2.23325062,23.57723577,41.19241192,-33.64799026,21.13374053,5.66572238,-0.14074902,0,0.08954828,-0.71563089,0.00637691,0.34420709,0.01663682,1.18476182,-0.06668632,-0.05078694,-0.49075123,0.7334345,0.20689655
ACETRY,2026-08-15 21:58:59,2026-08-15 21:59:59,2026-08-15 22:13:59,5.00503,1,7.952,0.29007441,0.36602297,0.1385216,0.6837174,50.63616583,15.0,59.3495935,34.68834688,59.1891375,20.81844467,10.94674556,-0.12979428,0,0.10963252,0.1385216,0.00607215,0.67974227,0.01687734,0.2828037,-0.00950279,-0.03395304,0.1511335,0.42756539,0.61764706
