symbol,entry_time,onset_time,peak_time,entry_price,peak_price,spike_pct,entry_to_peak_minutes,onset_to_peak_minutes
BOMETRY,2026-08-15 19:37:59,2026-08-15 19:37:59,2026-08-15 19:46:59,0.04187,0.044,5.08717,9.0,9.0
ENSOTRY,2026-08-15 19:48:59,2026-08-15 19:53:59,2026-08-15 20:03:59,39.6,42.0,6.06061,15.0,10.0
HEMITRY,2026-08-15 20:16:59,2026-08-15 20:19:59,2026-08-15 20:31:59,0.3086,0.325,5.31432,15.0,12.0
WALTRY,2026-08-15 20:45:59,2026-08-15 20:45:59,2026-08-15 21:00:59,1.24,1.31,5.64516,15.0,15.0
HEMITRY,2026-08-15 20:48:59,2026-08-15 20:48:59,2026-08-15 21:03:59,0.3323,0.35,5.32651,15.0,15.0
HAEDALTRY,2026-08-15 20:56:59,2026-08-15 20:56:59,2026-08-15 21:11:59,0.812,0.853,5.04926,15.0,15.0
HEMITRY,2026-08-15 21:18:59,2026-08-15 21:19:59,2026-08-15 21:30:59,0.3346,0.3586,7.17274,12.0,11.0
COWTRY,2026-08-15 21:24:59,2026-08-15 21:29:59,2026-08-15 21:39:59,6.72,7.12,5.95238,15.0,10.0
ACETRY,2026-08-15 21:58:59,2026-08-15 21:59:59,2026-08-15 22:13:59,7.952,8.35,5.00503,15.0,14.0
COWTRY,2026-08-15 22:07:59,2026-08-15 22:16:59,2026-08-15 22:22:59,6.69,7.1,6.12855,15.0,6.0
ALPINETRY,2026-08-15 22:26:59,2026-08-15 22:26:59,2026-08-15 22:41:59,15.39,16.2,5.26316,15.0,15.0
HEMITRY,2026-08-15 23:12:59,2026-08-15 23:13:59,2026-08-15 23:24:59,0.3293,0.3469,5.34467,12.0,11.0
REDTRY,2026-08-15 23:17:59,2026-08-15 23:17:59,2026-08-15 23:32:59,4.42,4.72,6.78733,15.0,15.0
COWTRY,2026-08-15 23:19:59,2026-08-15 23:20:59,2026-08-15 23:34:59,6.64,7.02,5.72289,15.0,14.0
REDTRY,2026-08-15 23:47:59,2026-08-15 23:42:59,2026-08-16 00:02:59,4.45,5.23,17.52809,15.0,20.0
HEMITRY,2026-08-15 23:50:59,2026-08-15 23:51:59,2026-08-16 00:00:59,0.3147,0.3305,5.02065,10.0,9.0
YBTRY,2026-08-15 23:50:59,2026-08-15 23:50:59,2026-08-16 00:05:59,3.98,4.3,8.0402,15.0,15.0
REDTRY,2026-08-16 00:18:59,2026-08-16 00:26:59,2026-08-16 00:33:59,5.29,5.6,5.86011,15.0,7.0
LINEATRY,2026-08-16 00:25:59,2026-08-16 00:25:59,2026-08-16 00:40:59,0.1043,0.111,6.42378,15.0,15.0
USTCTRY,2026-08-16 00:40:59,2026-08-16 00:40:59,2026-08-16 00:55:59,0.24,0.2524,5.16667,15.0,15.0
HEMITRY,2026-08-16 01:08:59,2026-08-16 01:12:59,2026-08-16 01:22:59,0.3356,0.3546,5.6615,14.0,10.0
ONTTRY,2026-08-16 01:21:59,2026-08-16 01:26:59,2026-08-16 01:36:59,1.776,1.93,8.67117,15.0,10.0
COWTRY,2026-08-16 01:59:59,2026-08-16 02:00:59,2026-08-16 02:07:59,6.59,6.93,5.15933,8.0,7.0
HEMITRY,2026-08-16 02:05:59,2026-08-16 02:05:59,2026-08-16 02:17:59,0.3207,0.3384,5.51918,12.0,12.0
DOLOTRY,2026-08-16 02:52:59,2026-08-16 02:54:59,2026-08-16 03:07:59,1.021,1.078,5.58276,15.0,13.0
WALTRY,2026-08-16 03:05:59,2026-08-16 03:07:59,2026-08-16 03:20:59,1.21,1.29,6.61157,15.0,13.0
ACETRY,2026-08-16 03:07:59,2026-08-16 03:10:59,2026-08-16 03:22:59,7.388,7.77,5.17055,15.0,12.0
CHIPTRY,2026-08-16 03:10:59,2026-08-16 03:12:59,2026-08-16 03:23:59,1.3012,1.3713,5.38733,13.0,11.0
NXPCTRY,2026-08-16 03:24:59,2026-08-16 03:24:59,2026-08-16 03:39:59,9.35,9.95,6.41711,15.0,15.0
HEMITRY,2026-08-16 03:50:59,2026-08-16 03:50:59,2026-08-16 03:58:59,0.3238,0.3404,5.12662,8.0,8.0
HEMITRY,2026-08-16 04:13:59,2026-08-16 04:07:59,2026-08-16 04:20:59,0.293,0.3131,6.86007,7.0,13.0
HEMITRY,2026-08-16 04:35:59,2026-08-16 04:34:59,2026-08-16 04:45:59,0.303,0.3274,8.05281,10.0,11.0
HEMITRY,2026-08-16 05:00:59,2026-08-16 05:02:59,2026-08-16 05:15:59,0.3178,0.341,7.30019,15.0,13.0
PIXELTRY,2026-08-16 05:14:59,2026-08-16 05:17:59,2026-08-16 05:29:59,0.245,0.259,5.71429,15.0,12.0
HEMITRY,2026-08-16 05:45:59,2026-08-16 05:49:59,2026-08-16 06:00:59,0.3401,0.3737,9.87945,15.0,11.0
WALTRY,2026-08-16 06:11:59,2026-08-16 06:11:59,2026-08-16 06:26:59,1.24,1.31,5.64516,15.0,15.0
HEMITRY,2026-08-16 06:30:59,2026-08-16 06:31:59,2026-08-16 06:45:59,0.3644,0.3898,6.97036,15.0,14.0
COWTRY,2026-08-16 06:56:59,2026-08-16 06:56:59,2026-08-16 07:10:59,6.04,6.4,5.96026,14.0,14.0
ACETRY,2026-08-16 07:01:59,2026-08-16 07:04:59,2026-08-16 07:09:59,6.432,6.762,5.1306,8.0,5.0
HEMITRY,2026-08-16 07:13:59,2026-08-16 07:17:59,2026-08-16 07:27:59,0.38,0.4005,5.39474,14.0,10.0
COWTRY,2026-08-16 07:58:59,2026-08-16 07:59:59,2026-08-16 08:12:59,6.18,6.5,5.17799,14.0,13.0
HEMITRY,2026-08-16 08:09:59,2026-08-16 08:09:59,2026-08-16 08:24:59,0.3743,0.3933,5.07614,15.0,15.0
XAITRY,2026-08-16 08:23:59,2026-08-16 08:23:59,2026-08-16 08:38:59,0.3336,0.3532,5.8753,15.0,15.0
ACETRY,2026-08-16 08:33:59,2026-08-16 08:33:59,2026-08-16 08:48:59,6.624,6.999,5.66123,15.0,15.0
XAITRY,2026-08-16 08:53:59,2026-08-16 08:49:59,2026-08-16 09:01:59,0.3467,0.385,11.04701,8.0,12.0
ACETRY,2026-08-16 09:03:59,2026-08-16 08:55:59,2026-08-16 09:11:59,7.073,7.71,9.00608,8.0,16.0
HEMITRY,2026-08-16 09:07:59,2026-08-16 09:07:59,2026-08-16 09:22:59,0.3787,0.399,5.36044,15.0,15.0
