[START] strategy=BB_MFI_MEAN_REVERSION initial=10000.00 TRY window=2026-08-10T00:24:02+00:00..2026-08-10T21:24:02+00:00
[CONFIG] universe=312 source=BinanceTR-exchangeInfo order_pct=0.1000 pyramiding=2 max_positions=36 commission=0.001500 spread=0.001000 slippage=0.000250
[DATA] 1000CATTRY source=BinanceTR-public interval=5m candles=575
[DATA] 0GTRY source=BinanceTR-public interval=5m candles=575
[DATA] 1000SATSTRY source=BinanceTR-public interval=5m candles=575
[DATA] 1MBABYDOGETRY source=BinanceTR-public interval=5m candles=575
[DATA] 2ZTRY source=BinanceTR-public interval=5m candles=575
[DATA] AAVETRY source=BinanceTR-public interval=5m candles=575
[DATA] ACETRY source=BinanceTR-public interval=5m candles=575
[DATA] ACMTRY source=BinanceTR-public interval=5m candles=575
[DATA] ACHTRY source=BinanceTR-public interval=5m candles=575
[DATA] AEROTRY source=BinanceTR-public interval=5m candles=575
[DATA] ADATRY source=BinanceTR-public interval=5m candles=575
[DATA] ACXTRY source=BinanceTR-public interval=5m candles=575
[DATA] ACTTRY source=BinanceTR-public interval=5m candles=575
[DATA] AIGENSYNTRY source=BinanceTR-public interval=5m candles=575
[DATA] AITRY source=BinanceTR-public interval=5m candles=575
[DATA] AIXBTTRY source=BinanceTR-public interval=5m candles=575
[DATA] ALGOTRY source=BinanceTR-public interval=5m candles=575
[DATA] ALICETRY source=BinanceTR-public interval=5m candles=575
[DATA] ALTTRY source=BinanceTR-public interval=5m candles=575
[DATA] ALLOTRY source=BinanceTR-public interval=5m candles=575
[DATA] ANIMETRY source=BinanceTR-public interval=5m candles=575
[DATA] ALPINETRY source=BinanceTR-public interval=5m candles=575
[DATA] ANKRTRY source=BinanceTR-public interval=5m candles=575
[DATA] APETRY source=BinanceTR-public interval=5m candles=575
[DATA] AMPTRY source=BinanceTR-public interval=5m candles=575
[DATA] API3TRY source=BinanceTR-public interval=5m candles=575
[DATA] ARBTRY source=BinanceTR-public interval=5m candles=575
[DATA] APTTRY source=BinanceTR-public interval=5m candles=575
[DATA] ARKMTRY source=BinanceTR-public interval=5m candles=575
[DATA] ARKTRY source=BinanceTR-public interval=5m candles=575
[DATA] ARTRY source=BinanceTR-public interval=5m candles=575
[DATA] ARPATRY source=BinanceTR-public interval=5m candles=575
[DATA] ASRTRY source=BinanceTR-public interval=5m candles=575
[DATA] ATOMTRY source=BinanceTR-public interval=5m candles=575
[DATA] ATMTRY source=BinanceTR-public interval=5m candles=575
[DATA] AEVOTRY source=BinanceTR-public interval=5m candles=575
[DATA] ASTERTRY source=BinanceTR-public interval=5m candles=575
[DATA] ATTRY source=BinanceTR-public interval=5m candles=575
[DATA] ATRY source=BinanceTR-public interval=5m candles=575
[DATA] AUCTIONTRY source=BinanceTR-public interval=5m candles=575
[DATA] AVNTTRY source=BinanceTR-public interval=5m candles=575
[DATA] AUDIOTRY source=BinanceTR-public interval=5m candles=575
[DATA] AXLTRY source=BinanceTR-public interval=5m candles=575
[DATA] AVAXTRY source=BinanceTR-public interval=5m candles=575
[DATA] AXSTRY source=BinanceTR-public interval=5m candles=575
[DATA] BANKTRY source=BinanceTR-public interval=5m candles=575
[DATA] BABYTRY source=BinanceTR-public interval=5m candles=575
[DATA] BARDTRY source=BinanceTR-public interval=5m candles=575
[DATA] BANANATRY source=BinanceTR-public interval=5m candles=575
[DATA] BARTRY source=BinanceTR-public interval=5m candles=575
[DATA] BBTRY source=BinanceTR-public interval=5m candles=575
[DATA] BCHTRY source=BinanceTR-public interval=5m candles=575
[DATA] BEAMXTRY source=BinanceTR-public interval=5m candles=575
[DATA] BERATRY source=BinanceTR-public interval=5m candles=575
[DATA] BIOTRY source=BinanceTR-public interval=5m candles=575
[DATA] BLURTRY source=BinanceTR-public interval=5m candles=575
[DATA] BELTRY source=BinanceTR-public interval=5m candles=575
[DATA] BMTTRY source=BinanceTR-public interval=5m candles=575
[DATA] BOMETRY source=BinanceTR-public interval=5m candles=575
[DATA] BNBTRY source=BinanceTR-public interval=5m candles=575
[DATA] BREVTRY source=BinanceTR-public interval=5m candles=575
[DATA] BTCTRY source=BinanceTR-public interval=5m candles=575
[DATA] BONKTRY source=BinanceTR-public interval=5m candles=575
[DATA] BTTCTRY source=BinanceTR-public interval=5m candles=575
[DATA] CAKETRY source=BinanceTR-public interval=5m candles=575
[DATA] CELOTRY source=BinanceTR-public interval=5m candles=575
[DATA] CFGTRY source=BinanceTR-public interval=5m candles=575
[DATA] CATITRY source=BinanceTR-public interval=5m candles=575
[DATA] CETUSTRY source=BinanceTR-public interval=5m candles=575
[DATA] CHZTRY source=BinanceTR-public interval=5m candles=575
[DATA] CFXTRY source=BinanceTR-public interval=5m candles=575
[DATA] CHIPTRY source=BinanceTR-public interval=5m candles=575
[DATA] COMPTRY source=BinanceTR-public interval=5m candles=575
[DATA] CKBTRY source=BinanceTR-public interval=5m candles=575
